From: e8l6@jupiter.sun.csd.unb.ca (Rocket)
Subject: NHL Final point standings
Organization: University of New Brunswick
Distribution: rec.sport.hockey
Lines: 694


    Individual leaders by total points (Final standings)
    NOTE: Games played and points per games not accurate !!
    Hrivnak      WIN    29   0   3   3 0.10   3   0   0
    Wakaluk      MIN    29   0   3   3 0.10   3  20   0
    Dufresne     MON    30   1   2   3 0.10   3  30   0
    Cronin       PHI    34   2   1   3 0.09   3  37   0
    Smyth        CAL    34   1   2   3 0.09   3  95   3
    Hrudey       LA     48   0   3   3 0.06   3   8   0
    Marsh        OTT    57   0   3   3 0.05   3  30 -25
    Casey        MIN    58   0   3   3 0.05   3  28   0
    Berry        MIN    61   0   3   3 0.05   3 107   4
    Ranford      EDM    66   0   3   3 0.05   3  10   0
    Belfour      CHI    69   0   3   3 0.04   3  28   0
    Rivers       TB      4   0   2   2 0.50   2   2  -2
    Forslund     CAL     5   0   2   2 0.40   2   0   0
    Capuano      TB      6   1   1   2 0.33   2   2  -4
    Djoos        NYR     6   1   1   2 0.33   2   2   0
    Cummins      DET     7   1   1   2 0.29   2  58   0
    Otevrel      SJ      7   0   2   2 0.29   2   0  -6
    Kolstad      SJ     10   0   2   2 0.20   2  12  -9
    Osborne      TB     11   1   1   2 0.18   2   8  -1
    Wood         SJ     12   1   1   2 0.17   2  71  -5
    Brickley     WIN    12   0   2   2 0.17   2   2   0
    Eakins       WIN    14   0   2   2 0.14   2  38   2
    Simon        QUE    15   1   1   2 0.13   2  67  -2
    Bennett      CHI    16   0   2   2 0.13   2   8  -2
    Gillis       HAR    18   1   1   2 0.11   2  38   0
    Carlyle      WIN    22   1   1   2 0.09   2  14  -6
    Nylund       NYI    22   1   1   2 0.09   2  43  -2
    Blue         BOS    22   0   2   2 0.09   2   6   0
    Watters      LA     22   0   2   2 0.09   2  18  -3
    Woolley      WAS    23   0   2   2 0.09   2  10   0
    Whitmore     VAN    29   0   2   2 0.07   2   2   0
    Stauber      LA     30   0   2   2 0.07   2   2   0
    W.Young      TB     31   0   2   2 0.06   2   2   0
    Roussel      PHI    32   0   2   2 0.06   2  11   0
    Twist        QUE    34   0   2   2 0.06   2  64   0
    Fiset        QUE    37   0   2   2 0.05   2   2   0
    Jablonski    TB     42   0   2   2 0.05   2   7   0
    Soderstrom   PHI    43   0   2   2 0.05   2   4   0
    Healy        NYI    46   0   2   2 0.04   2   2   0
    Burke        HAR    50   0   2   2 0.04   2  25   0
    Hextall      QUE    53   0   2   2 0.04   2  56   0
    Roy          MON    61   0   2   2 0.03   2  16   0
    Vernon       CAL    63   0   2   2 0.03   2  42   0
    Joseph       STL    66   0   2   2 0.03   2   8   0
    Brown        PHI    67   0   2   2 0.03   2  76  -5
    Grimson      CHI    76   1   1   2 0.03   2 186   2
    Barnaby      BUF     1   1   0   1 1.00   1   0   0
    Ratushny     VAN     1   0   1   1 1.00   1   0   0
    Zholtok      BOS     1   0   1   1 1.00   1   0   1
    Sullivan     NJ      2   0   1   1 0.50   1   0  -1
    Duncanson    NYR     3   0   1   1 0.33   1   0   0
    Beaufait     SJ      4   1   0   1 0.25   1   0  -1
    Bowen        PHI     4   1   0   1 0.25   1   2   0
    MacDonald    BUF     4   1   0   1 0.25   1   2   0
    Esau         QUE     4   0   1   1 0.25   1   2   1
    D.Smith      MIN     9   0   1   1 0.11   1   2  -2
    Vial         DET     9   0   1   1 0.11   1  20   1
    Brown        BUF    10   0   1   1 0.10   1   6  -5
    Draper       BUF    11   0   1   1 0.09   1   2   0
    Karpa        QUE    11   0   1   1 0.09   1  13  -6
    Tichy        CHI    13   0   1   1 0.08   1  30   7
    Gosselin     HAR    15   0   1   1 0.07   1   2   0
    Fortier      LA     16   0   1   1 0.06   1  11  -9
    Hayward      SJ     18   0   1   1 0.06   1   2   0
    McGill       TOR    19   1   0   1 0.05   1  34   5
    Bergeron     TB     19   0   1   1 0.05   1   0   0
    Potvin       LA     19   0   1   1 0.05   1  52  -9
    Berthiaume   OTT    23   0   1   1 0.04   1   2   0
    Racicot      MON    25   0   1   1 0.04   1   6   0
    Wregget      PIT    25   0   1   1 0.04   1   6   0
    Ciccone      MIN    29   0   1   1 0.03   1 106   3
    Puppa        TOR    32   0   1   1 0.03   1   0   0
    Hackett      SJ     36   0   1   1 0.03   1   4   0
    Fitzpatrick  NYI    37   0   1   1 0.03   1   2   0
    Billington   NJ     40   0   1   1 0.03   1   8   0
    Potvin       TOR    46   0   1   1 0.02   1   4   0
    Vanbiesbrouk NYR    48   0   1   1 0.02   1  18   0
    McLean       VAN    54   0   1   1 0.02   1  16   0
    Moog         BOS    54   0   1   1 0.02   1  14   0
    Beaupre      WAS    57   0   1   1 0.02   1  20   0
    Baumgartner  TOR    61   1   0   1 0.02   1 155 -11
    Bales        BOS     1   0   0   0 0.00   0   0   0
    Burridge     WAS     1   0   0   0 0.00   0   0   0
    Chabot       MON     1   0   0   0 0.00   0   0   0
    D'Alessio    HAR     1   0   0   0 0.00   0   0   0
    Littman      TB      1   0   0   0 0.00   0   0   0
    Parks        NYI     1   0   0   0 0.00   0   0   0
    Semchuk      LA      1   0   0   0 0.00   0   2   0
    St. Amour    OTT     1   0   0   0 0.00   0   2   0
    Cimellaro    OTT     2   0   0   0 0.00   0   0  -2
    Cote         TB      2   0   0   0 0.00   0   0  -1
    Marcinyshyn  NYR     2   0   0   0 0.00   0   2  -1
    O'Neill      WIN     2   0   0   0 0.00   0   0   0
    Raglan       TB      2   0   0   0 0.00   0   2   0
    Williams     LA      2   0   0   0 0.00   0  10   0
    Charron      MON     3   0   0   0 0.00   0   2   0
    Ciavaglia    BUF     3   0   0   0 0.00   0   0   0
    Cloutier     QUE     3   0   0   0 0.00   0   0   0
    Hamr         OTT     3   0   0   0 0.00   0   0  -3
    Wamsley      TOR     3   0   0   0 0.00   0   0   0
    Hirsch       NYR     4   0   0   0 0.00   0   0   0
    O'Connor     NJ      7   0   0   0 0.00   0   9  -4
    J.Messier    NYR     9   0   0   0 0.00   0   6   0
    Knickle      LA     10   0   0   0 0.00   0   2   0
    Chapdelaine  LA     13   0   0   0 0.00   0  12  -6
    Shannon      TOR    15   0   0   0 0.00   0  11  -2
    Agnew        HAR    16   0   0   0 0.00   0  68   3
    Waite        CHI    20   0   0   0 0.00   0   0   0
    Langway      WAS    21   0   0   0 0.00   0  20 -13
    Riendeau     DET    22   0   0   0 0.00   0   2   0
    Hebert       STL    23   0   0   0 0.00   0   2   0
    Tabaracci    WAS    23   0   0   0 0.00   0  12   0
    Tugnutt      EDM    25   0   0   0 0.00   0   2   0
    Caufield     PIT    26   0   0   0 0.00   0  60  -1
    Hasek        BUF    27   0   0   0 0.00   0   0   0
    Pietrangelo  HAR    30   0   0   0 0.00   0   4   0
    Irbe         SJ     35   0   0   0 0.00   0  10   0
    Terreri      NJ     47   0   0   0 0.00   0   6   0
    Fuhr         BUF    56   0   0   0 0.00   0  10   0
    Sidorkiewicz OTT    63   0   0   0 0.00   0   8   0
-- 

-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-
-                                                                           -
-    Maurice Richard                                                        -
